Street_One,Street_Two,address,lat,lng
MISSION ST,SHAW ALY,MISSION ST@SHAW ALY,37.7889865,-122.3985861
MISSION ST,AVALON AVE,MISSION ST@AVALON AVE,37.727656,-122.4324727
MISSION ST,FRANCIS ST,MISSION ST@FRANCIS ST,37.7265972,-122.4333851
MISSION ST,LAFAYETTE ST,MISSION ST@LAFAYETTE ST,37.7734886,-122.4180521
MISSION ST,JESSIE WEST ST,MISSION ST@JESSIE WEST ST,37.7840079,-122.4048747
MISSION ST,COLLEGE AVE,MISSION ST@COLLEGE AVE,37.7353057,-122.4248058
MISSION ST,03RD ST,MISSION ST@03RD ST,37.7852881,-122.4034184
MISSION ST,HARRINGTON ST,MISSION ST@HARRINGTON ST,37.7251752,-122.4344615
MISSION ST,COLLEGE TER,MISSION ST@COLLEGE TER,37.7342953,-122.425813
MISSION ST,VALENCIA ST,MISSION ST@VALENCIA ST,37.7453457,-122.4200744
MISSION ST,NEY ST,MISSION ST@NEY ST,37.7300097,-122.4301161
MISSION ST,12TH ST,MISSION ST@12TH ST,37.7730672,-122.4187201
MISSION ST,25TH ST,MISSION ST@25TH ST,37.7506482,-122.4183159
MISSION ST,MARY ST,MISSION ST@MARY ST,37.7821284,-122.407276
MISSION ST,SPEAR ST,MISSION ST@SPEAR ST,37.7925297,-122.3940905
MISSION ST,ROLPH ST,MISSION ST@ROLPH ST,37.7157674,-122.4415835
MISSION ST,07TH ST,MISSION ST@07TH ST,37.7792143,-122.4109628
MISSION ST,NORTON ST,MISSION ST@NORTON ST,37.7245926,-122.4349007
MISSION ST,RUTH ST,MISSION ST@RUTH ST,37.7230498,-122.4360681
MISSION ST,BRAZIL AVE,MISSION ST@BRAZIL AVE,37.7246879,-122.4348243
MISSION ST,GUTTENBERG ST,MISSION ST@GUTTENBERG ST,37.7127826,-122.4446016
MISSION ST,23RD ST,MISSION ST@23RD ST,37.7538455,-122.4186194
MISSION ST,RANDALL ST,MISSION ST@RANDALL ST,37.7397793,-122.4236755
MISSION ST,PERSIA AVE,MISSION ST@PERSIA AVE,37.7231529,-122.4360018
MISSION ST,16TH ST,MISSION ST@16TH ST,37.7650579,-122.419705
MISSION ST,YERBA BUENA LN,MISSION ST@YERBA BUENA LN,37.7851382,-122.4035058
MISSION ST,LAURA ST,MISSION ST@LAURA ST,37.709688,-122.4501243
MISSION ST,18TH ST,MISSION ST@18TH ST,37.7618426,-122.4193887
